Ewe/V	Capacity/mA.h	
3.0376658E+000	0.000000000000000E+000
3.0371313E+000	0.000000000000000E+000
3.0367303E+000	0.000000000000000E+000
3.0364439E+000	0.000000000000000E+000
3.0360813E+000	0.000000000000000E+000
3.0359478E+000	0.000000000000000E+000
3.0352223E+000	0.000000000000000E+000
3.0352223E+000	0.000000000000000E+000
3.0344589E+000	0.000000000000000E+000
3.0345352E+000	0.000000000000000E+000
3.0341341E+000	0.000000000000000E+000
3.0340579E+000	0.000000000000000E+000
3.0332370E+000	0.000000000000000E+000
3.0331225E+000	0.000000000000000E+000
3.0328362E+000	0.000000000000000E+000
3.0323017E+000	0.000000000000000E+000
3.0320344E+000	0.000000000000000E+000
3.0316527E+000	0.000000000000000E+000
3.0315764E+000	0.000000000000000E+000
3.0309846E+000	0.000000000000000E+000
3.0306792E+000	0.000000000000000E+000
3.0306983E+000	0.000000000000000E+000
3.0299156E+000	0.000000000000000E+000
3.0298011E+000	0.000000000000000E+000
3.0291138E+000	0.000000000000000E+000
3.0290565E+000	0.000000000000000E+000
3.0284648E+000	0.000000000000000E+000
3.0281975E+000	0.000000000000000E+000
3.0277202E+000	0.000000000000000E+000
3.0275295E+000	0.000000000000000E+000
3.0272431E+000	0.000000000000000E+000
3.0270712E+000	0.000000000000000E+000
3.0267849E+000	0.000000000000000E+000
3.0265558E+000	0.000000000000000E+000
3.0262887E+000	0.000000000000000E+000
3.0254107E+000	0.000000000000000E+000
3.0256970E+000	0.000000000000000E+000
3.0253150E+000	0.000000000000000E+000
3.0252006E+000	0.000000000000000E+000
3.0244370E+000	0.000000000000000E+000
3.0241888E+000	0.000000000000000E+000
3.0242462E+000	0.000000000000000E+000
3.0240743E+000	0.000000000000000E+000
3.0238261E+000	0.000000000000000E+000
3.0236926E+000	0.000000000000000E+000
3.0230434E+000	0.000000000000000E+000
3.0228717E+000	0.000000000000000E+000
3.0226426E+000	0.000000000000000E+000
3.0223753E+000	0.000000000000000E+000
3.0218027E+000	0.000000000000000E+000
3.0214782E+000	0.000000000000000E+000
3.0213063E+000	0.000000000000000E+000
3.0211155E+000	0.000000000000000E+000
3.0212300E+000	0.000000000000000E+000
3.0207529E+000	0.000000000000000E+000
3.0203710E+000	0.000000000000000E+000
3.0199702E+000	0.000000000000000E+000
3.0201037E+000	0.000000000000000E+000
3.0197411E+000	0.000000000000000E+000
3.0191875E+000	0.000000000000000E+000
3.0191875E+000	0.000000000000000E+000
3.0187676E+000	0.000000000000000E+000
3.0185766E+000	0.000000000000000E+000
3.0183856E+000	0.000000000000000E+000
3.0179276E+000	0.000000000000000E+000
3.0177176E+000	0.000000000000000E+000
3.0173359E+000	0.000000000000000E+000
3.0170877E+000	0.000000000000000E+000
3.0167823E+000	0.000000000000000E+000
3.0169733E+000	0.000000000000000E+000
3.0162668E+000	0.000000000000000E+000
3.0162477E+000	0.000000000000000E+000
3.0153887E+000	0.000000000000000E+000
3.0156751E+000	0.000000000000000E+000
3.0153124E+000	0.000000000000000E+000
3.0151596E+000	0.000000000000000E+000
3.0148542E+000	0.000000000000000E+000
3.0144153E+000	0.000000000000000E+000
3.0142624E+000	0.000000000000000E+000
3.0140908E+000	0.000000000000000E+000
