Ewe/V	Capacity/mA.h	
2.3213885E+000	0.000000000000000E+000
2.3245170E+000	0.000000000000000E+000
2.3277028E+000	0.000000000000000E+000
2.3306026E+000	0.000000000000000E+000
2.3335023E+000	0.000000000000000E+000
2.3362112E+000	0.000000000000000E+000
2.3391299E+000	0.000000000000000E+000
2.3419151E+000	0.000000000000000E+000
2.3444333E+000	0.000000000000000E+000
2.3471231E+000	0.000000000000000E+000
2.3496222E+000	0.000000000000000E+000
2.3522930E+000	0.000000000000000E+000
2.3551354E+000	0.000000000000000E+000
2.3578825E+000	0.000000000000000E+000
2.3607442E+000	0.000000000000000E+000
2.3636248E+000	0.000000000000000E+000
2.3664100E+000	0.000000000000000E+000
2.3690999E+000	0.000000000000000E+000
2.3718278E+000	0.000000000000000E+000
2.3744032E+000	0.000000000000000E+000
2.3769786E+000	0.000000000000000E+000
2.3793633E+000	0.000000000000000E+000
2.3818052E+000	0.000000000000000E+000
2.3840370E+000	0.000000000000000E+000
2.3862500E+000	0.000000000000000E+000
2.3885775E+000	0.000000000000000E+000
2.3907330E+000	0.000000000000000E+000
2.3928697E+000	0.000000000000000E+000
2.3948157E+000	0.000000000000000E+000
2.3970475E+000	0.000000000000000E+000
2.3989744E+000	0.000000000000000E+000
2.4009392E+000	0.000000000000000E+000
2.4028471E+000	0.000000000000000E+000
2.4047356E+000	0.000000000000000E+000
2.4066625E+000	0.000000000000000E+000
2.4083984E+000	0.000000000000000E+000
2.4102106E+000	0.000000000000000E+000
2.4118130E+000	0.000000000000000E+000
2.4136064E+000	0.000000000000000E+000
2.4153614E+000	0.000000000000000E+000
2.4170592E+000	0.000000000000000E+000
2.4184330E+000	0.000000000000000E+000
2.4200926E+000	0.000000000000000E+000
2.4217904E+000	0.000000000000000E+000
2.4231067E+000	0.000000000000000E+000
2.4247091E+000	0.000000000000000E+000
2.4262543E+000	0.000000000000000E+000
2.4277234E+000	0.000000000000000E+000
2.4291542E+000	0.000000000000000E+000
