Ewe/V	Capacity/mA.h	
2.5543008E+000	0.000000000000000E+000
2.5967951E+000	0.000000000000000E+000
2.6531680E+000	0.000000000000000E+000
2.6359105E+000	0.000000000000000E+000
2.6548669E+000	0.000000000000000E+000
2.6567760E+000	0.000000000000000E+000
2.6499226E+000	0.000000000000000E+000
2.6461811E+000	0.000000000000000E+000
2.6400340E+000	0.000000000000000E+000
2.6217458E+000	0.000000000000000E+000
2.4758029E+000	0.000000000000000E+000
2.6457992E+000	0.000000000000000E+000
2.5366044E+000	0.000000000000000E+000
2.4540403E+000	0.000000000000000E+000
2.4840496E+000	0.000000000000000E+000
2.5350008E+000	0.000000000000000E+000
2.5871739E+000	0.000000000000000E+000
2.5657167E+000	0.000000000000000E+000
2.5827451E+000	0.000000000000000E+000
2.6095283E+000	0.000000000000000E+000
2.5965662E+000	0.000000000000000E+000
2.5707183E+000	0.000000000000000E+000
2.5236614E+000	0.000000000000000E+000
2.5185454E+000	0.000000000000000E+000
2.6000977E+000	0.000000000000000E+000
2.5425224E+000	0.000000000000000E+000
2.5548925E+000	0.000000000000000E+000
2.5539191E+000	0.000000000000000E+000
2.6039538E+000	0.000000000000000E+000
2.5833750E+000	0.000000000000000E+000
2.6024840E+000	0.000000000000000E+000
2.5656595E+000	0.000000000000000E+000
2.5916982E+000	0.000000000000000E+000
2.5866776E+000	0.000000000000000E+000
2.5796905E+000	0.000000000000000E+000
2.6333716E+000	0.000000000000000E+000
2.6357579E+000	0.000000000000000E+000
2.6221275E+000	0.000000000000000E+000
2.5844631E+000	0.000000000000000E+000
2.6301646E+000	0.000000000000000E+000
2.6497509E+000	0.000000000000000E+000
2.6450548E+000	0.000000000000000E+000
2.5952871E+000	0.000000000000000E+000
2.6466200E+000	0.000000000000000E+000
2.6584177E+000	0.000000000000000E+000
2.6651373E+000	0.000000000000000E+000
2.6298208E+000	0.000000000000000E+000
2.6170306E+000	0.000000000000000E+000
2.6253347E+000	0.000000000000000E+000
2.6103110E+000	0.000000000000000E+000
2.6065121E+000	0.000000000000000E+000
2.6087837E+000	0.000000000000000E+000
2.5815232E+000	0.000000000000000E+000
2.6432412E+000	0.000000000000000E+000
2.6621213E+000	0.000000000000000E+000
2.6238458E+000	0.000000000000000E+000
2.5960317E+000	0.000000000000000E+000
2.6553824E+000	0.000000000000000E+000
2.6538935E+000	0.000000000000000E+000
2.6739187E+000	0.000000000000000E+000
2.6270719E+000	0.000000000000000E+000
2.6091464E+000	0.000000000000000E+000
2.5909154E+000	0.000000000000000E+000
2.6220894E+000	0.000000000000000E+000
