Ewe/V	Capacity/mA.h	
2.9993429E+000	0.000000000000000E+000
2.9992285E+000	0.000000000000000E+000
2.9989424E+000	0.000000000000000E+000
2.9987705E+000	0.000000000000000E+000
2.9984653E+000	0.000000000000000E+000
2.9983509E+000	0.000000000000000E+000
2.9980075E+000	0.000000000000000E+000
2.9978168E+000	0.000000000000000E+000
2.9974735E+000	0.000000000000000E+000
2.9973972E+000	0.000000000000000E+000
2.9970536E+000	0.000000000000000E+000
2.9968629E+000	0.000000000000000E+000
2.9966722E+000	0.000000000000000E+000
2.9964433E+000	0.000000000000000E+000
2.9961381E+000	0.000000000000000E+000
2.9960046E+000	0.000000000000000E+000
2.9956610E+000	0.000000000000000E+000
2.9954321E+000	0.000000000000000E+000
2.9951651E+000	0.000000000000000E+000
2.9950316E+000	0.000000000000000E+000
2.9947073E+000	0.000000000000000E+000
2.9945738E+000	0.000000000000000E+000
2.9942684E+000	0.000000000000000E+000
2.9940777E+000	0.000000000000000E+000
2.9937916E+000	0.000000000000000E+000
2.9936581E+000	0.000000000000000E+000
2.9932575E+000	0.000000000000000E+000
2.9930477E+000	0.000000000000000E+000
2.9927995E+000	0.000000000000000E+000
2.9926279E+000	0.000000000000000E+000
2.9923990E+000	0.000000000000000E+000
2.9921892E+000	0.000000000000000E+000
2.9918649E+000	0.000000000000000E+000
2.9916551E+000	0.000000000000000E+000
2.9914834E+000	0.000000000000000E+000
2.9910827E+000	0.000000000000000E+000
2.9909492E+000	0.000000000000000E+000
2.9908919E+000	0.000000000000000E+000
2.9905105E+000	0.000000000000000E+000
2.9904151E+000	0.000000000000000E+000
2.9899573E+000	0.000000000000000E+000
2.9897664E+000	0.000000000000000E+000
2.9894612E+000	0.000000000000000E+000
2.9892514E+000	0.000000000000000E+000
2.9890606E+000	0.000000000000000E+000
2.9888127E+000	0.000000000000000E+000
2.9884694E+000	0.000000000000000E+000
2.9882975E+000	0.000000000000000E+000
2.9880114E+000	0.000000000000000E+000
2.9878397E+000	0.000000000000000E+000
2.9874773E+000	0.000000000000000E+000
2.9872484E+000	0.000000000000000E+000
2.9870005E+000	0.000000000000000E+000
2.9867713E+000	0.000000000000000E+000
2.9866378E+000	0.000000000000000E+000
2.9861991E+000	0.000000000000000E+000
2.9860084E+000	0.000000000000000E+000
2.9857795E+000	0.000000000000000E+000
2.9854169E+000	0.000000000000000E+000
2.9851689E+000	0.000000000000000E+000
2.9848065E+000	0.000000000000000E+000
2.9845395E+000	0.000000000000000E+000
2.9842725E+000	0.000000000000000E+000
2.9840627E+000	0.000000000000000E+000
2.9838526E+000	0.000000000000000E+000
2.9836047E+000	0.000000000000000E+000
2.9833186E+000	0.000000000000000E+000
2.9830897E+000	0.000000000000000E+000
2.9827464E+000	0.000000000000000E+000
2.9823265E+000	0.000000000000000E+000
2.9822311E+000	0.000000000000000E+000
2.9818878E+000	0.000000000000000E+000
2.9816208E+000	0.000000000000000E+000
2.9813156E+000	0.000000000000000E+000
2.9809911E+000	0.000000000000000E+000
2.9807432E+000	0.000000000000000E+000
2.9804380E+000	0.000000000000000E+000
2.9802282E+000	0.000000000000000E+000
2.9798086E+000	0.000000000000000E+000
2.9795415E+000	0.000000000000000E+000
2.9792361E+000	0.000000000000000E+000
2.9788547E+000	0.000000000000000E+000
2.9787402E+000	0.000000000000000E+000
2.9782252E+000	0.000000000000000E+000
2.9779770E+000	0.000000000000000E+000
2.9778054E+000	0.000000000000000E+000
2.9774621E+000	0.000000000000000E+000
2.9770615E+000	0.000000000000000E+000
2.9770043E+000	0.000000000000000E+000
2.9765272E+000	0.000000000000000E+000
2.9762030E+000	0.000000000000000E+000
2.9758787E+000	0.000000000000000E+000
2.9756308E+000	0.000000000000000E+000
2.9753256E+000	0.000000000000000E+000
2.9749248E+000	0.000000000000000E+000
2.9746578E+000	0.000000000000000E+000
2.9743145E+000	0.000000000000000E+000
2.9739902E+000	0.000000000000000E+000
2.9737041E+000	0.000000000000000E+000
2.9733796E+000	0.000000000000000E+000
2.9730363E+000	0.000000000000000E+000
2.9726548E+000	0.000000000000000E+000
2.9723878E+000	0.000000000000000E+000
2.9721208E+000	0.000000000000000E+000
2.9717772E+000	0.000000000000000E+000
2.9713767E+000	0.000000000000000E+000
2.9711096E+000	0.000000000000000E+000
2.9707854E+000	0.000000000000000E+000
2.9703846E+000	0.000000000000000E+000
2.9700031E+000	0.000000000000000E+000
2.9697170E+000	0.000000000000000E+000
2.9693356E+000	0.000000000000000E+000
2.9690874E+000	0.000000000000000E+000
2.9686487E+000	0.000000000000000E+000
2.9682672E+000	0.000000000000000E+000
2.9679620E+000	0.000000000000000E+000
2.9675994E+000	0.000000000000000E+000
2.9673705E+000	0.000000000000000E+000
2.9669509E+000	0.000000000000000E+000
2.9666076E+000	0.000000000000000E+000
2.9663787E+000	0.000000000000000E+000
2.9658825E+000	0.000000000000000E+000
2.9656537E+000	0.000000000000000E+000
2.9652150E+000	0.000000000000000E+000
2.9649479E+000	0.000000000000000E+000
2.9646616E+000	0.000000000000000E+000
2.9642420E+000	0.000000000000000E+000
2.9639940E+000	0.000000000000000E+000
2.9636698E+000	0.000000000000000E+000
2.9632883E+000	0.000000000000000E+000
2.9628875E+000	0.000000000000000E+000
2.9625251E+000	0.000000000000000E+000
2.9622009E+000	0.000000000000000E+000
2.9619720E+000	0.000000000000000E+000
2.9614949E+000	0.000000000000000E+000
2.9612660E+000	0.000000000000000E+000
2.9609609E+000	0.000000000000000E+000
2.9605603E+000	0.000000000000000E+000
2.9601595E+000	0.000000000000000E+000
2.9597971E+000	0.000000000000000E+000
2.9595873E+000	0.000000000000000E+000
2.9592249E+000	0.000000000000000E+000
2.9588625E+000	0.000000000000000E+000
2.9585762E+000	0.000000000000000E+000
2.9581375E+000	0.000000000000000E+000
2.9579086E+000	0.000000000000000E+000
2.9575081E+000	0.000000000000000E+000
2.9571836E+000	0.000000000000000E+000
2.9568212E+000	0.000000000000000E+000
2.9565160E+000	0.000000000000000E+000
2.9560964E+000	0.000000000000000E+000
2.9557912E+000	0.000000000000000E+000
2.9555621E+000	0.000000000000000E+000
2.9552379E+000	0.000000000000000E+000
2.9547610E+000	0.000000000000000E+000
2.9544559E+000	0.000000000000000E+000
2.9540741E+000	0.000000000000000E+000
2.9538453E+000	0.000000000000000E+000
2.9536355E+000	0.000000000000000E+000
2.9533112E+000	0.000000000000000E+000
2.9530251E+000	0.000000000000000E+000
2.9525862E+000	0.000000000000000E+000
2.9522429E+000	0.000000000000000E+000
2.9519567E+000	0.000000000000000E+000
2.9515181E+000	0.000000000000000E+000
2.9511936E+000	0.000000000000000E+000
2.9510410E+000	0.000000000000000E+000
2.9506786E+000	0.000000000000000E+000
2.9503734E+000	0.000000000000000E+000
2.9500873E+000	0.000000000000000E+000
2.9496865E+000	0.000000000000000E+000
2.9494386E+000	0.000000000000000E+000
2.9491143E+000	0.000000000000000E+000
2.9487710E+000	0.000000000000000E+000
2.9483895E+000	0.000000000000000E+000
2.9480650E+000	0.000000000000000E+000
2.9477408E+000	0.000000000000000E+000
2.9475119E+000	0.000000000000000E+000
2.9471686E+000	0.000000000000000E+000
2.9469397E+000	0.000000000000000E+000
2.9464817E+000	0.000000000000000E+000
2.9462910E+000	0.000000000000000E+000
2.9458332E+000	0.000000000000000E+000
2.9456425E+000	0.000000000000000E+000
2.9452989E+000	0.000000000000000E+000
2.9449747E+000	0.000000000000000E+000
2.9447458E+000	0.000000000000000E+000
2.9442880E+000	0.000000000000000E+000
2.9440401E+000	0.000000000000000E+000
2.9436965E+000	0.000000000000000E+000
2.9434485E+000	0.000000000000000E+000
2.9430480E+000	0.000000000000000E+000
2.9427810E+000	0.000000000000000E+000
2.9425712E+000	0.000000000000000E+000
2.9421704E+000	0.000000000000000E+000
2.9419415E+000	0.000000000000000E+000
2.9415600E+000	0.000000000000000E+000
2.9413884E+000	0.000000000000000E+000
2.9410641E+000	0.000000000000000E+000
2.9406252E+000	0.000000000000000E+000
2.9403582E+000	0.000000000000000E+000
2.9401484E+000	0.000000000000000E+000
2.9397097E+000	0.000000000000000E+000
2.9394999E+000	0.000000000000000E+000
2.9391563E+000	0.000000000000000E+000
2.9389274E+000	0.000000000000000E+000
2.9386222E+000	0.000000000000000E+000
2.9382980E+000	0.000000000000000E+000
2.9380500E+000	0.000000000000000E+000
2.9376302E+000	0.000000000000000E+000
2.9372678E+000	0.000000000000000E+000
2.9371152E+000	0.000000000000000E+000
2.9368291E+000	0.000000000000000E+000
2.9365048E+000	0.000000000000000E+000
2.9361422E+000	0.000000000000000E+000
2.9358180E+000	0.000000000000000E+000
2.9356272E+000	0.000000000000000E+000
2.9351885E+000	0.000000000000000E+000
2.9348450E+000	0.000000000000000E+000
2.9346733E+000	0.000000000000000E+000
2.9343109E+000	0.000000000000000E+000
2.9339676E+000	0.000000000000000E+000
2.9336815E+000	0.000000000000000E+000
2.9333570E+000	0.000000000000000E+000
2.9330900E+000	0.000000000000000E+000
2.9328420E+000	0.000000000000000E+000
2.9324987E+000	0.000000000000000E+000
2.9322317E+000	0.000000000000000E+000
2.9318881E+000	0.000000000000000E+000
2.9315829E+000	0.000000000000000E+000
2.9312778E+000	0.000000000000000E+000
2.9309916E+000	0.000000000000000E+000
2.9307055E+000	0.000000000000000E+000
2.9303238E+000	0.000000000000000E+000
2.9300568E+000	0.000000000000000E+000
2.9297516E+000	0.000000000000000E+000
2.9294846E+000	0.000000000000000E+000
2.9290650E+000	0.000000000000000E+000
2.9288359E+000	0.000000000000000E+000
2.9285688E+000	0.000000000000000E+000
2.9282064E+000	0.000000000000000E+000
2.9279966E+000	0.000000000000000E+000
2.9277296E+000	0.000000000000000E+000
2.9273288E+000	0.000000000000000E+000
2.9270618E+000	0.000000000000000E+000
2.9267948E+000	0.000000000000000E+000
2.9264324E+000	0.000000000000000E+000
2.9262226E+000	0.000000000000000E+000
2.9258981E+000	0.000000000000000E+000
2.9254975E+000	0.000000000000000E+000
2.9252687E+000	0.000000000000000E+000
2.9249444E+000	0.000000000000000E+000
2.9246011E+000	0.000000000000000E+000
2.9244483E+000	0.000000000000000E+000
2.9242575E+000	0.000000000000000E+000
2.9237616E+000	0.000000000000000E+000
2.9235327E+000	0.000000000000000E+000
2.9232657E+000	0.000000000000000E+000
2.9228649E+000	0.000000000000000E+000
2.9224262E+000	0.000000000000000E+000
2.9221210E+000	0.000000000000000E+000
2.9221210E+000	0.000000000000000E+000
2.9217587E+000	0.000000000000000E+000
2.9213197E+000	0.000000000000000E+000
2.9209955E+000	0.000000000000000E+000
2.9208047E+000	0.000000000000000E+000
2.9205186E+000	0.000000000000000E+000
2.9200797E+000	0.000000000000000E+000
2.9198318E+000	0.000000000000000E+000
2.9194884E+000	0.000000000000000E+000
2.9193549E+000	0.000000000000000E+000
2.9190497E+000	0.000000000000000E+000
2.9185917E+000	0.000000000000000E+000
2.9182866E+000	0.000000000000000E+000
2.9180195E+000	0.000000000000000E+000
2.9178097E+000	0.000000000000000E+000
2.9175045E+000	0.000000000000000E+000
2.9170656E+000	0.000000000000000E+000
2.9167604E+000	0.000000000000000E+000
2.9166460E+000	0.000000000000000E+000
2.9162645E+000	0.000000000000000E+000
2.9158449E+000	0.000000000000000E+000
2.9155586E+000	0.000000000000000E+000
2.9151962E+000	0.000000000000000E+000
2.9149673E+000	0.000000000000000E+000
2.9147766E+000	0.000000000000000E+000
2.9142616E+000	0.000000000000000E+000
2.9140897E+000	0.000000000000000E+000
2.9137464E+000	0.000000000000000E+000
2.9134412E+000	0.000000000000000E+000
2.9130788E+000	0.000000000000000E+000
2.9127927E+000	0.000000000000000E+000
2.9124110E+000	0.000000000000000E+000
2.9121630E+000	0.000000000000000E+000
2.9118388E+000	0.000000000000000E+000
2.9115336E+000	0.000000000000000E+000
2.9111137E+000	0.000000000000000E+000
2.9109612E+000	0.000000000000000E+000
